BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
6650 FRANKLIN AVE,4.60E+11,226.6,COMPLIED,-11.9,-11.9,69,No,Not Available,Not Available,Thomas Safran and Associates,71437,Not Available,Not Available,1,100,Not Available,90028,2017,Multifamily Housing,48.2,106.7,3488.6,49.3,107.8,1980
21200 KITTRIDGE ST,3.82E+11,1418.8,COMPLIED,-13.3,-13.3,73,No,Not Available,Not Available,AMLI Management Company,513976,Not Available,Not Available,5,100,Not Available,91303,2017,Multifamily Housing,43.3,87.8,23604,45.1,89.7,2007
6555 W IMPERIAL HWY,4.39E+11,210.8,COMPLIED,236,236,1,No,Not Available,Not Available,Los Angeles World Airports,47676,Not Available,Not Available,1,95,Not Available,90045,2017,Non-Refrigerated Warehouse,59,180.1,740,Not Available,Not Available,1996
11115 VANOWEN ST,4.49E+11,55.3,COMPLIED,-33,-33,Not Available,No,Not Available,Not Available,Avalon Investment,57000,Not Available,Not Available,1,100,Not Available,91605,2017,Distribution Center,12.8,40.2,845.3,12.8,40.2,1946
901 E E ST,4.85E+11,1591.6,COMPLIED,235,235,1,No,Not Available,Not Available,Konoike-Pacific Cal Inc,102309,Not Available,Not Available,1,100,Not Available,90744,2017,Refrigerated Warehouse,205.5,642.8,9288.6,205.6,642.9,1985
2090 W ADAMS BLVD,4.67E+11,349,COMPLIED,-37.6,-37.6,96,No,Not Available,Not Available,"GK Management Co., Inc.",150235,Not Available,Not Available,1,100,Not Available,90018,2017,Multifamily Housing,37.7,69.1,10669.5,39,70.4,1971
11022 S AVIATION BLVD,4.47E+11,1161,COMPLIED,21.7,21.7,Not Available,No,Not Available,Not Available,Los Angeles World Airports,51859,Not Available,Not Available,1,50,Not Available,90045,2017,Restaurant,399.8,526,500.6,Not Available,Not Available,1966
5056 N VAN NUYS BLVD,4.26E+11,149.1,NOT COMPLIED,255.7,255.7,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",17626,Not Available,Not Available,1,100,Not Available,91403,2017,Other - Recreation,113,344.4,3227.1,113.9,345.4,2009
19817 RINALDI ST,3.91E+11,2.5,COMPLIED,-97.9,-97.9,Not Available,No,Not Available,Not Available,"North San Fernando Valley Properties, Inc.",43000,1.7,0.04,0,0,Not Available,91326,2017,Retail Store,0.8,2.4,1.7,0.8,2.4,1999
500 S SPRING ST,4.86E+11,469.2,COMPLIED,30.4,30.4,13,No,Not Available,Not Available,AUM,125278,Not Available,Not Available,1,95,Not Available,90013,2017,Multifamily Housing,52.7,142.3,4151.7,52.7,142.3,1906
13031 W JEFFERSON BLVD,4.32E+11,1907.7,COMPLIED,-25.9,-25.9,75,No,09/26/2017,"2017, 2016, 2015","The Reserve Investors, LLC",319590,3289.6,10.29,1,100,4999,90066,2017,Office,80.8,239,8288.6,80.6,235.7,1972
11444 W OLYMPIC BLVD,4.27E+11,1441.2,COMPLIED,-38.3,-38.3,85,No,11/09/2017,"2017, 2016, 2015, 2014, 2013, 2012",Leading Edge Consulting Services LLC,237534,4187.2,17.63,1,100,Not Available,90064,2017,Office,102.2,166.1,4187.2,102.7,165,1984
21515 VANOWEN ST,3.80E+11,185.7,COMPLIED,-35.9,-35.9,87,No,Not Available,Not Available,"Tower at Sherman Oaks, LLC",52847,Not Available,Not Available,1,90,Not Available,91303,2017,Office,46.3,145.5,8.6,44.6,140,1983
5950 CANOGA AVE,3.81E+11,364.9,COMPLIED,-27.6,-27.6,76,No,Not Available,Not Available,Peregrine Realty Partners,92547,5046.3,54.53,1,95,Not Available,91367,2017,Office,52,163.2,5046.3,50.3,157.8,1980
21250 CALIFA ST,3.82E+11,212.6,COMPLIED,-25.1,-25.1,74,No,Not Available,Not Available,"Vert Energy Group, Inc.",54099,Not Available,Not Available,1,100,Not Available,91367,2017,Office,55.1,150.2,843.3,55.1,150.2,1978
1230 MENLO AVE,4.74E+11,155.7,COMPLIED,-16.5,-16.5,75,No,Not Available,Not Available,"Vert Energy Group, Inc.",72201,Not Available,Not Available,3,100,Not Available,90006,2017,Multifamily Housing,33.2,71,4037.2,33.4,71.3,2013
609 S GRAND AVE,4.84E+11,319.6,COMPLIED,-0.2,-0.2,50,No,Not Available,Not Available,equity residential,142857,Not Available,Not Available,1,95,Not Available,90017,2017,Multifamily Housing,33.1,79,2393.8,33.1,79,2006
900 N CAHUENGA BLVD,4.62E+11,165,COMPLIED,-19,-19,68,No,Not Available,Not Available,Madi Rosenberg,44000,483.2,10.98,1,100,Not Available,90038,2017,Office,49.5,155.3,483.2,48.6,152.6,1960
432 S HARVARD BLVD,4.70E+11,121.8,COMPLIED,-28.1,-28.1,89,No,Not Available,Not Available,"Vert Energy Group, Inc.",61029,Not Available,Not Available,1,100,Not Available,90020,2017,Multifamily Housing,33.8,55.5,4106.1,34.8,56.5,1970
7891 DEERING AVE,3.82E+11,21.4,COMPLIED,-74.8,-74.8,Not Available,No,Not Available,Not Available,"Howard Sommers Towing, Inc.",34450,Not Available,Not Available,1,5,Not Available,91304,2017,Other - Services,8.3,25.3,0.2,8.3,25.3,1969
2171 W OLYMPIC BLVD,4.27E+11,1149.9,COMPLIED,-31.6,-31.6,82,No,09/27/2017,"2017, 2004, 2002",650186,277716,Not Available,Not Available,1,95,Not Available,90064,2017,Office,54.6,171.4,8141,53.8,169.1,1989
11660 TUXFORD ST,4.45E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Benchmark RV Center,20850,Not Available,Not Available,3,100,Not Available,91352,2017,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",Not Available,Not Available,Not Available,Not Available,Not Available,1978
426 S NORTON AVE,4.66E+11,0,COMPLIED,-100,-100,Not Available,No,Not Available,Not Available,The Real Estate Group,143231,Not Available,Not Available,4,100,Not Available,90020,2017,Multifamily Housing,0,0,7528.6,0,0,1977
6811 N DE SOTO AVE,3.84E+11,50.5,COMPLIED,-5.2,-5.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,12544,Not Available,Not Available,1,100,Not Available,91303,2017,Fire Station,58.4,146.4,207.9,Not Available,Not Available,1978
20701 PLUMMER ST,3.85E+11,64.6,COMPLIED,-58.5,-58.5,Not Available,No,Not Available,Not Available,Westport NML Venture LLC,135465,Not Available,Not Available,1,80,Not Available,91311,2017,Self-Storage Facility,6.3,19.7,246.1,6.3,19.7,1964
21700 OXNARD ST,3.80E+11,1564.2,COMPLIED,-53.3,-53.3,94,No,06/22/2017,"2017, 2010",650186,495825,Not Available,Not Available,1,90,Not Available,91367,2017,Office,42.7,126.6,1905.3,43.7,127.7,1990
300 E 9TH ST,4.85E+11,42.9,COMPLIED,-72.9,-72.9,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",70700,Not Available,Not Available,1,100,Not Available,90015,2017,Multifamily Housing,9.4,21,398.7,9.5,21.1,1922
1050 STANFORD AVE,4.86E+11,64.9,COMPLIED,-56.7,-56.7,90,No,Not Available,Not Available,"Stanford 1050, LLC",115541,Not Available,Not Available,1,75,Not Available,90021,2017,Non-Refrigerated Warehouse,7.4,23.3,148.9,7.3,23,1925
1340 N POINSETTIA PL,4.56E+11,144.4,COMPLIED,-40.8,-40.8,100,No,Not Available,Not Available,DECRON Properties,88823,Not Available,Not Available,1,95,Not Available,90046,2017,Multifamily Housing,25.3,52.4,3045.3,26.1,53.3,1978
9851 S COAST GUARD WAY,4.34E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,14500,Not Available,Not Available,1,50,Not Available,90045,2017,Other,Not Available,Not Available,Not Available,Not Available,Not Available,1955
9301 N TAMPA AVE,3.94E+11,363.5,COMPLIED,-62.1,-62.1,96,No,05/10/2017,2017,Sears Holdings Corporation,255967,1179,4.61,1,100,Not Available,91324,2017,Retail Store,18.7,58.8,1179,18,56.5,1971
1546 W MARTIN LUTHER KING BLVD,4.69E+11,443.9,COMPLIED,116.4,116.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,46677,Not Available,Not Available,1,100,Not Available,90062,2017,Police Station,140.9,334.1,825.6,140.9,334.1,1990
6000 VAN NUYS BLVD,4.26E+11,16.1,COMPLIED,-83.4,-83.4,100,No,Not Available,Not Available,Los Angeles Department of Water and Power,25275,Not Available,Not Available,1,100,Not Available,91401,2017,Office,8.4,26.3,186.7,8,25.2,1954
936 W WASHINGTON BLVD,4.77E+11,89.8,COMPLIED,-43.1,-43.1,81,No,Not Available,Not Available,"Vert Energy Group, Inc.",122720,Not Available,Not Available,1,100,Not Available,90007,2017,Non-Refrigerated Warehouse,10.3,27.8,189.3,10.3,27.8,1980
2440 S SEPULVEDA BLVD,4.31E+11,1051.1,COMPLIED,39.4,39.4,19,No,Not Available,Not Available,Harvey Capital Corp,138000,2016,14.61,1,100,Not Available,90064,2017,Office,100.4,315.4,2016,Not Available,Not Available,1940
11350 PALMS BLVD,T00000000446,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Windward School,102106,Not Available,Not Available,10,100,Not Available,90066,2017,K-12 School,Not Available,Not Available,Not Available,Not Available,Not Available,1984
201 S ALVARADO ST,4.79E+11,Not Available,COMPLIED,-100,-100,100,No,Not Available,Not Available,"Verity Holdings, LLC",110003,Not Available,Not Available,1,70,Not Available,90057,2017,Medical Office,0,0,3717.1,0,0,1979
738 N WILCOX AVE,1.12E+11,282.8,COMPLIED,6.4,6.4,38,No,Not Available,Not Available,"Conservice, LLC",110367,Not Available,Not Available,1,90,Not Available,90038,2017,Multifamily Housing,38.7,87.3,3609.4,39.4,88,2014
1843 N CHEROKEE AVE,4.60E+11,97.1,COMPLIED,-22.6,-22.6,83,No,Not Available,Not Available,"Vert Energy Group, Inc.",50528,Not Available,Not Available,1,100,Not Available,90028,2017,Multifamily Housing,31.2,59.8,1600.8,31.6,60.3,1926
8811 S WESTERN AVE,4.68E+11,633.4,COMPLIED,-15.8,-15.8,Not Available,No,Not Available,Not Available,Superior Grocers,64904,Not Available,Not Available,2,100,639.8,90047,2017,Supermarket/Grocery Store,128.7,404.1,3992.2,127.2,399.3,1997
7501 N TYRONE AVE,4.27E+11,18,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,188000,Not Available,Not Available,1,100,Not Available,91405,2017,Parking,1.3,4,216.1,1.3,4,1990
3600 BARHAM BLVD,4.59E+11,664.8,COMPLIED,-10.2,-10.2,66,No,Not Available,Not Available,"AvalonBay Communities, Inc",281622,Not Available,Not Available,1,95,Not Available,90068,2017,Multifamily Housing,37.4,73.9,12474,39.3,75.9,1973
5401 BEETHOVEN ST,4.34E+11,143.3,COMPLIED,-14.7,-14.7,66,No,Not Available,Not Available,Heidt Beethoven LLC,51431,Not Available,Not Available,1,100,Not Available,90066,2017,K-12 School,36.7,115.4,703,35.7,112,1970
15315 MAGNOLIA BLVD NO 423,4.20E+11,272.2,NOT COMPLIED,-50.3,-50.3,93,No,Not Available,Not Available,"Jamison Services, Inc",100335,987.4,9.84,1,70,Not Available,91403,2017,Office,36.1,111,987.4,34.8,107.1,1985
1950 SAWTELLE BLVD,4.27E+11,451.1,COMPLIED,-13.9,-13.9,63,No,Not Available,Not Available,Morlin Asset Management,111181,Not Available,Not Available,1,95,Not Available,90025,2017,Office,53.7,167.2,2025.7,51.4,159.7,1985
6550 YUCCA ST,4.61E+11,236,COMPLIED,-20.7,-20.7,80,No,Not Available,Not Available,"Vert Energy Group, Inc.",124188,Not Available,Not Available,1,100,Not Available,90028,2017,Multifamily Housing,31.4,56.7,3714.1,31.8,57.1,1987
635 S NORTON AVE,4.66E+11,107.6,COMPLIED,-19.9,-19.9,80,No,Not Available,Not Available,AR Properties,58176,Not Available,Not Available,1,95,Not Available,90005,2017,Multifamily Housing,30.5,53.1,3551,Not Available,Not Available,2008
301 FIGUEROA ST,4.77E+11,28.9,COMPLIED,-86.4,-86.4,100,No,Not Available,Not Available,Rexford Industrial,133625,583.9,4.37,1,40,Not Available,90744,2017,Non-Refrigerated Warehouse,2.9,9,583.9,2.9,9,1972
12495 FILMORE ST,4.39E+11,19.1,COMPLIED,-49.4,-49.4,85,No,Not Available,Not Available,Extra Space Storage,56875,380,6.68,1,100,Not Available,91342,2017,Non-Refrigerated Warehouse,4.4,13.9,380,4.4,13.9,2009
601 E 2ND ST,4.90E+11,368.9,COMPLIED,-25.1,-25.1,94,No,Not Available,Not Available,equity residential,175560,Not Available,Not Available,1,95,Not Available,90012,2017,Multifamily Housing,32.1,70.3,4918.4,32.1,70.3,2008
4133 S REDWOOD AVE,4.28E+11,447,COMPLIED,27,27,17,No,Not Available,Not Available,"Vert Energy Group, Inc.",142000,Not Available,Not Available,1,100,Not Available,90292,2017,Multifamily Housing,52.7,90.6,4814.5,54,91.9,2008
10435 S SEPULVEDA BLVD,4.41E+11,28.5,COMPLIED,-13.6,-13.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,8853,Not Available,Not Available,1,100,Not Available,90045,2017,Fire Station,42.5,133.3,Not Available,40.4,126.7,2001
3191 W 7TH ST,4.72E+11,152.7,COMPLIED,-24.6,-24.6,86,No,Not Available,Not Available,"Vert Energy Group, Inc.",80800,Not Available,Not Available,1,100,Not Available,90005,2017,Multifamily Housing,28.7,63.8,2730.4,29,64.2,1925
7921 N WOODLEY AVE,4.15E+11,74.7,COMPLIED,3.2,3.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,15063,Not Available,Not Available,1,100,Not Available,91406,2017,Fire Station,77.4,159.2,398.7,Not Available,Not Available,1956
1033 HILGARD AVE,4.28E+11,232.1,COMPLIED,16.7,16.7,26,No,Not Available,Not Available,Moss & Company,112000,Not Available,Not Available,1,95,Not Available,90024,2017,Multifamily Housing,33.2,63.3,2702.5,35.1,65.4,1977
221 S JUANITA AVE,4.74E+11,50,COMPLIED,-34.7,-34.7,81,No,Not Available,Not Available,First Church of the Nazarene,44301,Not Available,Not Available,1,100,Not Available,90004,2017,Worship Facility,16.9,39.2,524,Not Available,Not Available,1950
746 W ADAMS BLVD,4.77E+11,120.6,COMPLIED,-45.3,-45.3,Not Available,No,Not Available,Not Available,University of Southern California,31988,207.8,6.5,2,100,Not Available,90007,2017,College/University,52.9,143.7,207.8,52.9,143.7,2012
6101 W IMPERIAL HWY,4.43E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,265454,Not Available,Not Available,1,95,Not Available,90045,2017,Other,Not Available,Not Available,3692,Not Available,Not Available,1947
1538 N MARTEL AVE,4.56E+11,175.7,COMPLIED,1.3,1.3,48,No,Not Available,Not Available,Marlon Manor Apartments,66360,Not Available,Not Available,1,95,Not Available,90046,2017,Multifamily Housing,40.6,88,2290.5,41.9,89.4,1987
6355 TOPANGA CANYON BLVD,3.78E+11,462.5,COMPLIED,-21.8,-21.8,70,No,Not Available,Not Available,Toibb Enterprises,99645,Not Available,Not Available,1,95,Not Available,91367,2017,Office,66.6,171.3,1375.7,67.4,168.1,1966
11771 MONTANA AVE,4.20E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Brody,110269,Not Available,Not Available,1,100,Not Available,90049,2017,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,2010
14522 ADDISON ST,4.26E+11,18.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Welltower, Inc",128547,38.7,0.3,1,100,Not Available,91403,2017,Parking,1.9,6,38.7,1.9,5.9,1968
445 S HOBART BLVD,4.69E+11,146.7,COMPLIED,3,3,44,No,Not Available,Not Available,Hobart Villa Partnership,26969,Not Available,Not Available,1,100,Not Available,90020,2017,Multifamily Housing,81.4,187.9,3277.2,82.7,189.3,1991
21501 ROSCOE BLVD,3.81E+11,271.7,COMPLIED,-28.9,-28.9,94,No,Not Available,Not Available,MV at Canoga Park,103927,Not Available,Not Available,1,95,Not Available,91304,2017,Multifamily Housing,40.5,85.2,4438.2,41.6,86.5,2014
10250 CONSTELLATION BLVD,4.35E+11,3181.9,COMPLIED,-49.4,-49.4,96,No,08/23/2017,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Marketable Engineered Projects, LLC",810474,Not Available,Not Available,1,80,Not Available,90067,2017,Office,63.9,129.5,8620.7,63.9,129.5,2003
17720 W MAGNOLIA BLVD,7903,130.6,COMPLIED,-20.2,-20.2,80,No,Not Available,Not Available,Yardi Energy,56466,Not Available,Not Available,1,95,Not Available,91316,2017,Multifamily Housing,34.8,79.4,984.4,35.8,80.5,2015
733 N KINGS RD,4.49E+11,378.8,COMPLIED,-13.3,-13.3,75,No,Not Available,Not Available,AUM,145688,Not Available,Not Available,1,95,Not Available,90069,2017,Multifamily Housing,39.2,88.8,4191.3,40.1,89.7,1971
1556 S ROBERTSON BLVD,4.45E+11,44.9,COMPLIED,-15.9,-15.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,10988,Not Available,Not Available,1,100,Not Available,90035,2017,Fire Station,64.2,129.8,230.8,67,129,1949
4048 TUJUNGA AVE,4.47E+11,93.6,COMPLIED,-21.4,-21.4,82,No,Not Available,Not Available,Investors Management Co.,52886,Not Available,Not Available,4,90,Not Available,91604,2017,Multifamily Housing,23.3,73.2,1603.8,23.3,73.2,1965
4174 W PICO BLVD,4.63E+11,36.6,COMPLIED,-37.4,-37.4,Not Available,No,Not Available,Not Available,Public Storage,50832,20,0.39,1,100,Not Available,90019,2017,Self-Storage Facility,9.5,29.8,20,9.5,29.8,2010
716 N STATE ST,4.97E+11,71.7,COMPLIED,188.9,188.9,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10328,Not Available,Not Available,1,100,Not Available,90033,2017,Other - Recreation,93.5,279.7,4347.7,94,280.2,1987
21415 ROSCOE BLVD,3.81E+11,38.9,COMPLIED,-86.3,-86.3,Not Available,No,Not Available,Not Available,DEPENDABLE INVESTMENTS LLC,90335,Not Available,Not Available,5,100,Not Available,91304,2017,Automobile Dealership,5.7,17.8,305.3,5.4,17,1964
6203 N VARIEL AVE,3.82E+11,402.5,COMPLIED,-7.3,-7.3,63,No,Not Available,Not Available,"Conservice, LLC",150960,Not Available,Not Available,1,100,Not Available,91367,2017,Multifamily Housing,40.7,89.3,9,41.7,90.3,2008
639 S SPRING ST,4.85E+11,451.5,COMPLIED,81.7,81.7,1,No,Not Available,Not Available,"Vert Energy Group, Inc.",121274,Not Available,Not Available,1,100,Not Available,90014,2017,Multifamily Housing,49.1,154.1,3162,49.1,154.1,2001
17015 W BURBANK BLVD,4.10E+11,346,COMPLIED,706.7,706.7,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",18240,Not Available,Not Available,1,100,Not Available,91316,2017,Other - Recreation,251.3,781,508.7,252.8,782.5,1990
1212 S FLOWER ST,4.81E+11,242.8,COMPLIED,-29.3,-29.3,77,No,Not Available,Not Available,"Vert Energy Group, Inc.",69986,Not Available,Not Available,1,100,Not Available,90015,2017,Office,46.4,141.3,1065.2,46.4,141.3,1967
3303 WILSHIRE BLVD,4.72E+11,574.4,COMPLIED,-58.6,-58.6,98,No,Not Available,Not Available,Cushman and Wakefield of CA,222775,Not Available,Not Available,1,100,Not Available,90010,2017,Office,35.1,102.5,1338.6,34.9,101.1,1971
19701 S VERMONT AVE,4.73E+11,46.1,COMPLIED,-29.2,-29.2,68,No,Not Available,Not Available,"Unire Real Estate Group, Inc.",66600,Not Available,Not Available,1,100,Not Available,90502,2017,Non-Refrigerated Warehouse,9.8,27.5,698.1,9.8,27.5,1978
1999 W ADAMS BLVD,4.68E+11,Not Available,NOT COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"Community Impact Development II, LLC",55000,Not Available,Not Available,2,100,Not Available,90018,2017,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1948
1714 IVAR AVE,4.62E+11,548.7,COMPLIED,-17.6,-17.6,77,No,Not Available,Not Available,"GK Management Co., Inc.",199784,Not Available,Not Available,1,100,Not Available,90028,2017,Multifamily Housing,41.8,92.5,95.5,42.1,92.8,1972
111 E 1ST ST,4.88E+11,347.9,COMPLIED,-3.2,-3.2,53,No,Not Available,Not Available,ece_cola_gsd,73815,Not Available,Not Available,1,100,Not Available,90012,2017,Office,62.1,195.1,3348.7,Not Available,Not Available,2000
11970 W VENICE BLVD,4.32E+11,51.7,COMPLIED,-5.8,-5.8,Not Available,No,Not Available,Not Available,ece_cola_gsd,13790,Not Available,Not Available,1,100,Not Available,90066,2017,Fire Station,52,145.5,333.2,51.1,142.7,1950
17830 SHERMAN WAY,4.04E+11,520.2,COMPLIED,-2.9,-2.9,54,No,Not Available,Not Available,"Vert Energy Group, Inc.",175600,Not Available,Not Available,2,95,Not Available,91335,2017,Multifamily Housing,46.8,93,11126,48.2,94.4,1971
8901 BRADLEY AVE,4.48E+11,63.8,COMPLIED,-30.1,-30.1,74,No,Not Available,Not Available,IDS Real Estate Group,55005,Not Available,Not Available,1,100,Not Available,91352,2017,Non-Refrigerated Warehouse,15.3,48,1319.4,14.7,46.2,1988
5758 W CENTURY BLVD,4.46E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,354911,Not Available,Not Available,1,95,Not Available,90045,2017,Non-Refrigerated Warehouse,Not Available,Not Available,4572.3,Not Available,Not Available,1969
14093 BALBOA BLVD,4.15E+11,109.7,COMPLIED,-40.7,-40.7,79,No,Not Available,Not Available,Cascades West LP,125000,680.7,5.45,1,100,Not Available,91342,2017,Distribution Center,11.6,36.3,680.7,11.6,36.3,1999
9650 ZELZAH AVE,4.04E+11,88.2,COMPLIED,-19.6,-19.6,Not Available,No,Not Available,Not Available,Child and Family Guidance Center,35000,Not Available,Not Available,1,100,Not Available,91325,2017,Medical Office,35.9,93.9,1196.4,37.2,91.7,1975
